# E_CM [keV], S [MeV.barn], S_error [MeV.barn]
6.227875066570601525e+00,4.838820838946149283e-02,1.749945177156111975e-03
9.146643275586603394e+00,5.201842047554901260e-02,1.749945177156091158e-03
1.067181479276965206e+01,5.508364399611540008e-02,2.062435387362553108e-03
1.215093512108016682e+01,5.577378528241596495e-02,1.999937345321251003e-03
1.466620719902258863e+01,5.740327683969800171e-02,2.124933429403841334e-03
1.613545941543184981e+01,5.865590050437014674e-02,1.874941261238702306e-03
1.769242818207450085e+01,5.990868080573917565e-02,1.749945177156091158e-03
1.963315685598822569e+01,5.928714639265687120e-02,1.812443219197400202e-03
2.259797625387676234e+01,6.029244071301024382e-02,1.624949093073507767e-03
2.597944926537389421e+01,6.254847905767361993e-02,1.562451051032240357e-03
2.945192819773816950e+01,6.461717991290999441e-02,1.687447135114816810e-03
3.282901538172364297e+01,6.712321042573853036e-02,1.749945177156111975e-03
3.577519501268756130e+01,6.919097146079383753e-02,1.750101813852947275e-03
3.943078224366405493e+01,7.082249929513485809e-02,1.874784624541825373e-03
4.588781679771936695e+01,7.277152971398140324e-02,1.937439303279969716e-03
4.935919927320571787e+01,7.490272861125904513e-02,1.937439303279969716e-03
5.276589079289497164e+01,7.572131198897277815e-02,1.937439303279969716e-03
5.435356035211929537e+01,7.522414711318568814e-02,1.937439303279969716e-03
5.585022399047650055e+01,7.491431972682559282e-02,1.874941261238702306e-03
