# E_CM [keV], S [MeV.barn], S_error [MeV.barn]
6.002178222987425649e+00,5.146345280951632878e-02,6.279660713021176233e-03
9.379728178640377223e+00,5.115745813116289592e-02,3.782546042459755675e-03
1.442648823498722521e+01,5.304625136954136538e-02,4.106033688889280941e-03
1.451387801951270973e+01,4.255947722648300430e-02,6.065842001107442372e-03
1.925836072416132083e+01,5.822155266864921519e-02,7.870632222836557168e-03
1.929096885271560780e+01,5.430857724213488530e-02,3.865912384038099059e-03
2.190157562477175190e+01,5.603576459539831578e-02,3.965017958858729763e-03
2.358774195231388049e+01,5.619580529034271660e-02,7.456761049942070563e-03
2.866841446235718394e+01,5.401510408514631489e-02,5.567952582642227144e-03
2.957329002973860810e+01,5.793003599937389392e-02,3.844581074499170414e-03
3.448081337715866823e+01,5.402723430896849699e-02,2.270501500714248999e-03
3.462526738665416559e+01,5.919275316951005950e-02,1.056404907935983711e-02
3.950539990608861274e+01,5.857685083737670939e-02,3.667366279780780169e-03
4.417586215891897439e+01,6.062138049773043574e-02,4.167069001434785258e-03
4.418890541034070196e+01,5.905619032712471073e-02,5.106215766364385900e-03
4.885415036260239674e+01,6.172679605572073402e-02,4.803619219738319845e-03
4.925262169353578656e+01,5.891023634371571338e-02,3.647037261912761119e-03
5.370819637919341716e+01,6.424127406479883395e-02,4.890011543930775084e-03
5.855050346950490336e+01,6.816442322742208293e-02,5.762694886100400149e-03
6.359074190014088401e+01,7.083581155110342531e-02,5.616609150065135503e-03
7.309046799186103271e+01,7.836868054468612566e-02,6.417942994545886015e-03
8.280247300046954706e+01,8.292807951166063229e-02,6.908366648606445448e-03
9.289599311316325725e+01,8.670566598841754347e-02,7.242320238627475426e-03
1.028085381123806599e+02,8.970026608232894993e-02,7.576705954398896270e-03
1.125257604215578624e+02,9.363358898106115269e-02,7.909868865349473088e-03
1.224213491939271137e+02,9.866293629676001209e-02,8.085289913590545940e-03
1.321072676996922155e+02,1.063527156049459410e-01,8.576332809077352737e-03
1.418284029842959058e+02,1.098164814524964367e-01,9.064465959857437305e-03
