# E_CM [keV], S [MeV.barn], S_error [MeV.barn]
7.047403783633151306e+02,2.410394154255813270e-01,6.498539596040742161e-03
9.718859336780503781e+02,2.811251819054403356e-01,8.355265194909533566e-03
1.239403040530080034e+03,3.100705947920859851e-01,1.021199079377849150e-02
1.500743103074589271e+03,3.492243861658976822e-01,9.283627994344068046e-03
1.762423754528283098e+03,3.781661867459311654e-01,1.206871639264717189e-02
3.054091711304456112e+03,4.996552827403991093e-01,1.392544199151607431e-02
4.055268291172556019e+03,5.810441630285578807e-01,1.671053038981951122e-02
5.144579991949719442e+03,6.448483347266514842e-01,1.856725598868846916e-02
6.071059231507572804e+03,6.909124686503390622e-01,1.856364368207563675e-02
6.891863021333254437e+03,7.554788370436882339e-01,2.413743278529489888e-02
