# E_CM [keV], S [MeV.barn], S_error [MeV.barn]
2.412022923292259868e+00, 5.482493533255214380e-02, 2.703200278765177655e-02
3.404621886788033791e+00, 6.745168534434284324e-02, 3.110971370868402530e-02
4.017869040348916343e+00, 6.036583817356634685e-02, 2.307755206281412660e-02
4.704048625241305182e+00, 4.973900453905148733e-02, 9.876761320714730341e-03
4.802325557750915408e+00, 5.367851662125735362e-02, 3.711320651750275867e-03
5.247481917357106340e+00, 5.553491679394575303e-02, 3.031380395974981722e-03
5.587883271693823595e+00, 5.592763776071049686e-02, 1.635434979439355160e-02
6.002178222987425649e+00, 5.146345280951632878e-02, 6.279660713021176233e-03
6.227875066570600637e+00, 4.838820838946149283e-02, 1.749945177156111975e-03
6.270019786848282095e+00, 6.071429867109755935e-02, 1.726676186624620871e-02
9.146643275586605171e+00, 5.201842047554899873e-02, 1.749945177156091158e-03
9.379728178640375447e+00, 5.115745813116288898e-02, 3.782546042459756109e-03
9.388636837713804084e+00, 5.668749999999997402e-02, 2.581633172519672004e-03
9.551573016121460924e+00, 5.303607763343239079e-02, 1.035629507107506571e-02
1.067181479276965206e+01, 5.508364399611539314e-02, 2.062435387362553108e-03
1.215093512108016682e+01, 5.577378528241596495e-02, 1.999937345321251003e-03
1.442180329578640041e+01, 5.818749999999997535e-02, 1.215714185019284082e-03
1.442648823498722521e+01, 5.304625136954136538e-02, 4.106033688889280074e-03
1.451387801951270795e+01, 4.255947722648300430e-02, 6.065842001107442372e-03
1.455137736735014009e+01, 6.055955548599151195e-02, 1.271412982285652533e-02
1.466620719902258863e+01, 5.740327683969800171e-02, 2.124933429403841334e-03
1.485309839612681948e+01, 6.271790837921865924e-02, 1.271714827065478781e-03
1.613545941543184625e+01, 5.865590050437014674e-02, 1.874941261238702306e-03
1.769242818207450085e+01, 5.990868080573917565e-02, 1.749945177156091158e-03
1.925836072416131728e+01, 5.822155266864921519e-02, 7.870632222836555433e-03
1.929096885271561135e+01, 5.430857724213488530e-02, 3.865912384038099059e-03
1.935330621610346213e+01, 6.012499999999997707e-02, 9.120915698129853895e-04
1.954335576772578520e+01, 6.902214744091403342e-02, 1.381982876943652072e-02
1.963315685598822569e+01, 5.928714639265687814e-02, 1.812443219197399985e-03
2.190157562477175190e+01, 5.603576459539832966e-02, 3.965017958858729763e-03
2.259797625387676234e+01, 6.029244071301023689e-02, 1.624949093073507550e-03
2.358774195231388049e+01, 5.619580529034271660e-02, 7.456761049942070563e-03
2.418716103462661948e+01, 6.237499999999997213e-02, 1.045788822405323282e-03
2.459533312464132138e+01, 7.028486461105021288e-02, 1.414334907843223417e-02
2.465141085572981794e+01, 6.943791437240141862e-02, 3.860024925165212329e-03
2.542318523153942067e+01, 5.662499999999997397e-02, 3.297778108455273315e-03
2.597944926537389065e+01, 6.254847905767360605e-02, 1.562451051032240140e-03
2.866841446235718749e+01, 5.401510408514632183e-02, 5.567952582642227144e-03
2.902703900709219909e+01, 6.443749999999998090e-02, 1.179491948873789831e-03
2.945192819773816950e+01, 6.461717991291000829e-02, 1.687447135114816593e-03
2.957329002973861165e+01, 5.793003599937388698e-02, 3.844581074499169547e-03
2.965252778212552798e+01, 7.092150571294411621e-02, 1.368356523864183716e-02
3.282901538172364297e+01, 6.712321042573853036e-02, 1.749945177156111975e-03
3.389904046725072106e+01, 6.549999999999998879e-02, 1.063234234516472138e-03
3.448081337715866823e+01, 5.402723430896849699e-02, 2.270501500714248999e-03
3.453135597641780663e+01, 7.046212239787129350e-02, 1.400756666723718125e-02
3.462526738665416559e+01, 5.919275316951005256e-02, 1.056404907935983538e-02
3.577519501268756130e+01, 6.919097146079385141e-02, 1.750101813852947275e-03
3.898039215686273451e+01, 6.549999999999998879e-02, 1.009821120892206775e-03
3.943078224366404783e+01, 7.082249929513485809e-02, 1.874784624541825373e-03
3.950539990608860563e+01, 5.857685083737670939e-02, 3.667366279780780603e-03
3.961202848646111363e+01, 6.828142119267485710e-02, 1.401746236325163326e-02
3.976541895775993396e+01, 7.385189347117654401e-02, 1.455147147077187402e-03
4.114704861866963626e+01, 7.361306513840507049e-02, 1.149738047198048396e-03
4.282462453066332841e+01, 6.037499999999997730e-02, 4.328643369568625776e-03
4.396336566541510393e+01, 6.856249999999998457e-02, 9.563120672911318287e-04
4.417586215891897439e+01, 6.062138049773044962e-02, 4.167069001434784391e-03
4.418890541034070196e+01, 5.905619032712469685e-02, 5.106215766364385032e-03
4.468226639536703715e+01, 6.735287212396300072e-02, 1.371505358555278990e-02
4.588781679771936695e+01, 7.277152971398143100e-02, 1.937439303279969499e-03
