# E_CM [keV], S [MeV.barn], S_error [MeV.barn]
9.388636837713805861e+00,5.668749999999997402e-02,2.581633172519672004e-03
1.442180329578640041e+01,5.818749999999996841e-02,1.215714185019284299e-03
1.935330621610346569e+01,6.012499999999997707e-02,9.120915698129852811e-04
2.418716103462662304e+01,6.237499999999997907e-02,1.045788822405323282e-03
2.902703900709219909e+01,6.443749999999998090e-02,1.179491948873789831e-03
3.389904046725072106e+01,6.549999999999998879e-02,1.063234234516471921e-03
3.898039215686273451e+01,6.549999999999998879e-02,1.009821120892206991e-03
4.396336566541510393e+01,6.856249999999998457e-02,9.563120672911318287e-04
4.891093032957862619e+01,6.999999999999997891e-02,1.090191410043572784e-03
5.381633291614519266e+01,7.274999999999998135e-02,1.161688230318605464e-03
5.741836149353358110e+01,7.243749999999998801e-02,1.230461530027288086e-03
