# E_CM [keV], S [MeV.barn], S_error [MeV.barn]
4.704048625241306070e+00,4.973900453905149427e-02,9.876761320714730341e-03
9.551573016121460924e+00,5.303607763343240467e-02,1.035629507107506397e-02
1.455137736735014187e+01,6.055955548599151195e-02,1.271412982285652360e-02
1.954335576772578520e+01,6.902214744091403342e-02,1.381982876943652072e-02
2.459533312464131782e+01,7.028486461105021288e-02,1.414334907843223244e-02
2.965252778212553153e+01,7.092150571294410233e-02,1.368356523864183716e-02
3.453135597641780663e+01,7.046212239787129350e-02,1.400756666723718125e-02
3.961202848646111363e+01,6.828142119267487098e-02,1.401746236325163153e-02
4.468226639536703715e+01,6.735287212396301459e-02,1.371505358555279164e-02
4.955587728909064538e+01,6.751956487713252353e-02,1.372521809448680463e-02
5.442687953252986688e+01,6.799929566442318440e-02,1.373536627213770012e-02
5.932396827881257195e+01,6.534864611050238137e-02,1.332913442435888079e-02
6.436029373402203646e+01,6.848959148536541697e-02,1.363332061725195526e-02
6.942270569207491349e+01,6.850015651901703029e-02,1.376664231236857106e-02
7.428327333437684388e+01,7.023203944279225730e-02,1.424704027340134571e-02
7.935351124328272476e+01,6.930349037408041479e-02,1.375778920546616435e-02
8.421016591015808217e+01,7.150493034903733502e-02,1.458073325697262224e-02
8.944181405540777519e+01,7.370715291907962985e-02,1.506110668025255339e-02
9.450292168831843753e+01,7.387423696979178445e-02,1.475785818880583078e-02
9.973196118328384330e+01,7.638949757395517570e-02,1.539472613222175879e-02
