# E_CM [keV], S [MeV.barn], S_error [MeV.barn]
6.350240318862099542e+01,7.258689578367405471e-02,9.474881695070797027e-03
7.867673205423784566e+01,7.385985307334619332e-02,8.074569569768000332e-03
9.815833691532183991e+01,8.453093861123051056e-02,9.206757883967964240e-03
1.242929643233949406e+02,9.615030674846625214e-02,8.303763836890645789e-03
1.313661541166816562e+02,9.021150013676683399e-02,6.127066838094136214e-03
1.595589269665116774e+02,1.080951799460747598e-01,7.723695826143711640e-03
1.617518854284709846e+02,1.021497303739595797e-01,5.770893747866198686e-03
1.859227365089289208e+02,1.159579539681919319e-01,8.069668516363717736e-03
2.083971904185065398e+02,1.275723398851158485e-01,9.674292936463491088e-03
2.189968641319213987e+02,1.238298620608807576e-01,7.164547383121944168e-03
2.214167578445547520e+02,1.341646477277167737e-01,1.000759522292243853e-02
2.711526513227306623e+02,1.389284807158767121e-01,9.424250338010392580e-03
2.902522859599077378e+02,1.558605564456254089e-01,1.197713393299104645e-02
3.202762690008207187e+02,1.637283126880544060e-01,1.169839230919317297e-02
3.275595424172561252e+02,1.543459614708296013e-01,1.199979667951603379e-02
3.757686784416397359e+02,1.741353405494119044e-01,1.395053626262560131e-02
3.863110566214687083e+02,1.713320112539564732e-01,1.395384109175279441e-02
4.182774705951312058e+02,1.973607909030518082e-01,1.339355492849761409e-02
4.330147805869252124e+02,1.857970575592981788e-01,1.369729683546608290e-02
4.548792055800868184e+02,1.974106131061700853e-01,1.404581847985975074e-02
4.810531534523856863e+02,1.983854675471845297e-01,1.437905627690261312e-02
