# E_CM [keV], S [MeV.barn], S_error [MeV.barn]
2.463066734589913267e+02,9.374149029778164333e-02,1.423794748298062851e-02
3.529245588848236821e+02,1.366942990784051626e-01,1.288750984115172304e-02
4.992497568656510794e+02,1.973639605427685295e-01,1.966192747649700423e-02
6.771963136201546831e+02,2.411559301625527951e-01,2.576946232575358375e-02
8.868198027138425914e+02,2.707821979345158003e-01,2.711989996758223942e-02
1.086537303755847006e+03,2.969962487843283427e-01,2.983744732089099738e-02
1.283767887741397317e+03,3.218487472792109227e-01,3.322187746028804067e-02
1.431524105034038939e+03,3.323521511600983080e-01,3.187143981845957930e-02
1.572027972027972055e+03,3.489408604640393818e-01,3.322743481683881894e-02
1.719589681841336869e+03,3.499522993562728668e-01,4.949381744083752865e-02
1.868290649747603084e+03,4.065595331820497926e-01,6.101977492705967787e-02
