! E, sigma
1.000000E+2, 1.123100E-58
2.000000E+4, 2.773400E-4
5.000000E+4, 4.610500E-3	
8.000000E+4, 1.154100E-2
1.500000E+5, 2.749500E-2
3.000000E+5, 5.246300E-2
4.500000E+5, 6.863500E-2
6.000000E+5, 7.938400E-2
7.500000E+5, 8.656700E-2
9.000000E+5, 9.133900E-2
1.100000E+6, 9.522300E-2
1.400000E+6, 9.932700E-2
1.700000E+6, 1.023968E-1
2.000000E+6, 1.042460E-1
2.300000E+6, 1.047980E-1
2.600000E+6, 1.046789E-1
2.900000E+6, 1.041449E-1
3.400000E+6, 1.026180E-1
4.000000E+6, 1.004580E-1
5.500000E+6, 9.467628E-2
7.000000E+6, 8.947300E-2
8.500000E+6, 8.430948E-2
1.000000E+7, 8.255900E-2
