! Elab, sigma
3.325000E+2, 0.000000E+0
3.516140E+2, 9.29873E-31
3.541520E+2, 1.20781E-30
3.567460E+2, 1.57358E-30
3.593410E+2, 2.04418E-30
3.619360E+2, 2.64799E-30
3.645880E+2, 3.43997E-30
3.672410E+2, 4.45604E-30
3.700090E+2, 5.82009E-30
3.727760E+2, 7.57880E-30
3.755440E+2, 9.83996E-30
3.783690E+2, 1.28070E-29
3.811950E+2, 1.66194E-29
3.841350E+2, 2.17301E-29
3.870760E+2, 2.83247E-29
3.900170E+2, 3.68087E-29
3.929580E+2, 4.76924E-29
3.960140E+2, 6.22316E-29
3.991270E+2, 8.13532E-29
4.022410E+2, 1.06016E-28
4.053550E+2, 1.37729E-28
4.085150E+2, 1.79083E-28
4.116760E+2, 2.32135E-28
4.150070E+2, 3.04164E-28
4.183380E+2, 3.97247E-28
4.216700E+2, 5.17154E-28
4.250010E+2, 6.71149E-28
4.283320E+2, 8.68317E-28
4.318340E+2, 1.13465E-27
4.354220E+2, 1.48734E-27
4.390090E+2, 1.94313E-27
4.425970E+2, 2.53024E-27
4.461840E+2, 3.28414E-27
4.497720E+2, 4.24924E-27
4.535300E+2, 5.54739E-27
4.573740E+2, 7.26106E-27
4.612180E+2, 9.47183E-27
4.650610E+2, 1.23145E-26
4.689050E+2, 1.59581E-26
4.729200E+2, 2.08481E-26
4.770200E+2, 2.72953E-26
4.811200E+2, 3.56119E-26
4.852200E+2, 4.63041E-26
4.894050E+2, 6.03283E-26
4.935860E+2, 7.83128E-26
4.978570E+2, 1.01876E-25
5.023310E+2, 1.33710E-25
5.068050E+2, 1.74854E-25
5.113800E+2, 2.29209E-25
5.159560E+2, 2.99366E-25
5.205320E+2, 3.89605E-25
5.251070E+2, 5.05279E-25
5.297850E+2, 6.56774E-25
5.346650E+2, 8.60271E-25
5.395461E+2, 1.12265E-24
5.444261E+2, 1.45974E-24
5.493070E+2, 1.89133E-24
5.544930E+2, 2.48108E-24
5.596780E+2, 3.24231E-24
5.648641E+2, 4.22128E-24
5.702530E+2, 5.53156E-24
5.756421E+2, 7.22074E-24
5.811330E+2, 9.43666E-24
5.866241E+2, 1.22857E-23
5.923180E+2, 1.60887E-23
5.982250E+2, 2.11948E-23
6.034250E+2, 2.69241E-23
6.094920E+2, 3.54542E-23
6.155600E+2, 4.64942E-23
6.216271E+2, 6.07273E-23
6.276940E+2, 7.90060E-23
6.337610E+2, 1.02393E-22
6.398280E+2, 1.32209E-22
6.458951E+2, 1.70083E-22
6.519620E+2, 2.18027E-22
6.580301E+2, 2.78514E-22
6.646750E+2, 3.62757E-22
6.716080E+2, 4.75917E-22
6.785420E+2, 6.21744E-22
6.854761E+2, 8.08915E-22
6.924100E+2, 1.04822E-21
6.993440E+2, 1.35301E-21
7.062781E+2, 1.73978E-21
7.137900E+2, 2.27490E-21
7.215901E+2, 2.99195E-21
7.293910E+2, 3.91748E-21
7.371910E+2, 5.10708E-21
7.449921E+2, 6.62980E-21
7.527931E+2, 8.57115E-21
7.605931E+2, 1.10366E-20
7.686830E+2, 1.42857E-20
7.773500E+2, 1.87500E-20
7.860171E+2, 2.44972E-20
7.946851E+2, 3.18639E-20
8.033520E+2, 4.12672E-20
8.120190E+2, 5.32209E-20
8.212640E+2, 6.94968E-20
8.307980E+2, 9.10768E-20
8.403331E+2, 1.18801E-19
8.498671E+2, 1.54261E-19
8.596901E+2, 2.00965E-19
8.700901E+2, 2.64598E-19
8.804911E+2, 3.46656E-19
8.902361E+2, 4.44540E-19
9.000861E+2, 5.69215E-19
9.099351E+2, 7.25885E-19
9.197850E+2, 9.22006E-19
9.296351E+2, 1.16659E-18
9.407980E+2, 1.51620E-18
9.526180E+2, 1.99098E-18
9.644381E+2, 2.60115E-18
9.762571E+2, 3.38155E-18
9.880771E+2, 4.37507E-18
9.998970E+2, 5.63420E-18
1.011720E+3, 7.22311E-18
1.023540E+3, 9.21937E-18
1.035360E+3, 1.17176E-17
1.047830E+3, 1.50248E-17
1.061620E+3, 1.96741E-17
1.075410E+3, 2.56262E-17
1.089200E+3, 3.32086E-17
1.102990E+3, 4.28212E-17
1.116780E+3, 5.49527E-17
1.131230E+3, 7.10080E-17
1.146330E+3, 9.23408E-17
1.161430E+3, 1.19457E-16
1.177190E+3, 1.55436E-16
1.194270E+3, 2.05499E-16
1.212000E+3, 2.72878E-16
1.229730E+3, 3.60082E-16
1.246800E+3, 4.67628E-16
1.264530E+3, 6.09933E-16
1.282260E+3, 7.91070E-16
1.299990E+3, 1.02046E-15
1.318370E+3, 1.32148E-15
1.337420E+3, 1.71729E-15
1.357120E+3, 2.23861E-15
1.376810E+3, 2.90123E-15
1.397170E+3, 3.77042E-15
1.418180E+3, 4.91177E-15
1.439850E+3, 6.41181E-15
1.461520E+3, 8.31947E-15
1.484510E+3, 1.08968E-14
1.508150E+3, 1.42884E-14
1.531790E+3, 1.86161E-14
1.556530E+3, 2.43950E-14
1.580850E+3, 3.16166E-14
1.605160E+3, 4.07300E-14
1.630490E+3, 5.27004E-14
1.657840E+3, 6.91384E-14
1.685200E+3, 9.00916E-14
1.715590E+3, 1.19983E-13
1.744970E+3, 1.57122E-13
1.775360E+3, 2.06188E-13
1.805760E+3, 2.68677E-13
1.838180E+3, 3.53702E-13
1.871610E+3, 4.66066E-13
1.905040E+3, 6.09563E-13
1.939490E+3, 7.97793E-13
1.975960E+3, 1.05249E-12
2.012430E+3, 1.37779E-12
2.048900E+3, 1.79038E-12
2.088410E+3, 2.35902E-12
2.128940E+3, 3.10480E-12
2.171490E+3, 4.10773E-12
2.214040E+3, 5.38975E-12
2.256590E+3, 7.01628E-12
2.302180E+3, 9.23000E-12
2.350810E+3, 1.22548E-11
