! Elab, sigma
1.187500e+3, 0.000000E+0
1.255100e+3, 3.19778E-31
1.264100e+3, 4.21231E-31
1.273100e+3, 5.53237E-31
1.282100e+3, 7.24507E-31
1.291100e+3, 9.46098E-31
1.300100e+3, 1.23201E-30
1.309100e+3, 1.59991E-30
1.318100e+3, 2.07207E-30
1.327100e+3, 2.67645E-30
1.336100e+3, 3.44808E-30
1.345100e+3, 4.43079E-30
1.354100e+3, 5.67920E-30
1.363100e+3, 7.26130E-30
1.372100e+3, 9.26148E-30
1.381100e+3, 1.17842E-29
1.390100e+3, 1.49588E-29
1.399100e+3, 1.89445E-29
1.408100e+3, 2.39373E-29
1.417100e+3, 3.01778E-29
1.426100e+3, 3.79611E-29
1.435100e+3, 4.76477E-29
1.444100e+3, 5.96778E-29
1.453100e+3, 7.45873E-29
1.462100e+3, 9.30280E-29
1.471100e+3, 1.15790E-28
1.480100e+3, 1.43831E-28
1.489100e+3, 1.78309E-28
1.498100e+3, 2.20619E-28
1.507100e+3, 2.72442E-28
1.516100e+3, 3.35801E-28
1.525100e+3, 4.13121E-28
1.536100e+3, 5.30865E-28
1.548100e+3, 6.95751E-28
1.560100e+3, 9.08976E-28
1.572100e+3, 1.18387E-27
1.584100e+3, 1.53724E-27
1.596100e+3, 1.99013E-27
1.608100e+3, 2.56894E-27
1.620100e+3, 3.30658E-27
1.632100e+3, 4.24406E-27
1.644100e+3, 5.43230E-27
1.656100e+3, 6.93437E-27
1.668100e+3, 8.82821E-27
1.680100e+3, 1.12099E-26
1.692100e+3, 1.41976E-26
1.704100e+3, 1.79362E-26
1.716100e+3, 2.26032E-26
1.728100e+3, 2.84152E-26
1.740100e+3, 3.56362E-26
1.753100e+3, 4.54228E-26
1.768100e+3, 5.98974E-26
1.783100e+3, 7.87059E-26
1.798100e+3, 1.03063E-25
1.813100e+3, 1.34502E-25
1.828100e+3, 1.74950E-25
1.843100e+3, 2.26824E-25
1.858100e+3, 2.93144E-25
1.873100e+3, 3.77675E-25
1.888100e+3, 4.85096E-25
1.903100e+3, 6.21206E-25
1.918100e+3, 7.93173E-25
1.933100e+3, 1.00983E-24
1.948100e+3, 1.28205E-24
1.963100e+3, 1.62314E-24
1.978100e+3, 2.04941E-24
1.993100e+3, 2.58073E-24
2.011100e+3, 3.39143E-24
2.029100e+3, 4.44042E-24
2.047100e+3, 5.79296E-24
2.065100e+3, 7.53091E-24
2.083100e+3, 9.75660E-24
2.101100e+3, 1.25975E-23
2.119100e+3, 1.62121E-23
2.137100e+3, 2.07965E-23
2.155100e+3, 2.65931E-23
2.173100e+3, 3.39003E-23
2.191100e+3, 4.30845E-23
2.212100e+3, 5.67759E-23
2.233100e+3, 7.45235E-23
2.254100e+3, 9.74427E-23
2.275100e+3, 1.26931E-22
2.296100e+3, 1.64738E-22
2.317100e+3, 2.13038E-22
2.338100e+3, 2.74534E-22
2.359100e+3, 3.52568E-22
2.380100e+3, 4.51266E-22
2.401100e+3, 5.75700E-22
2.425100e+3, 7.57466E-22
2.449100e+3, 9.92551E-22
2.473100e+3, 1.29541E-21
2.497100e+3, 1.68412E-21
2.521100e+3, 2.18116E-21
2.545100e+3, 2.81443E-21
2.569100e+3, 3.61842E-21
2.594100e+3, 4.68339E-21
2.621100e+3, 6.16224E-21
2.648100e+3, 8.07359E-21
2.675100e+3, 1.05339E-20
2.702100e+3, 1.36886E-20
2.729100e+3, 1.77179E-20
2.756100e+3, 2.28452E-20
2.783100e+3, 2.93459E-20
2.813100e+3, 3.85939E-20
2.843100e+3, 5.05334E-20
2.873100e+3, 6.58833E-20
2.903100e+3, 8.55381E-20
2.933100e+3, 1.10605E-19
2.964100e+3, 1.43650E-19
2.997100e+3, 1.88883E-19
3.030100e+3, 2.47234E-19
3.063100e+3, 3.22184E-19
