E_CM [keV], S [keV.barn]
63.502403188620995, 72.58689578367404
78.67673205423785, 73.85985307334619
98.15833691532183, 84.53093861123051
124.29296432339495, 96.15030674846625
131.36615411668166, 90.21150013676683
161.75188542847098, 102.14973037395958
159.5589269665117, 108.09517994607478
185.92273650892895, 115.95795396819193
208.39719041850657, 127.57233988511585
218.99686413192137, 123.82986206088077
221.41675784455475, 134.16464772771678
271.15265132273066, 138.92848071587667
290.25228595990774, 155.8605564456254
320.2762690008207, 163.7283126880544
327.5595424172561, 154.3459614708296
375.76867844163974, 174.1353405494119
386.31105662146865, 171.33201125395647
418.27747059513115, 197.36079090305185
433.0147805869252, 185.7970575592982
454.8792055800868, 197.4106131061701
481.0531534523857, 198.38546754718453
